
Instance /home/wagner/src/CCP/instances/AES/Alegrete.dat dom jun 6 23:37:44 2010/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Farthest, 29700.4, 0.179, 0,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Hill Climb with Interchange, 18076, 35.039, 0,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Hill Climb with Shift, 29700.4, 0.38, 1,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Density, 10850.5, 13.042, 10,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Hill Climb with Interchange, 10848.1, 1.389, 10,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Hill Climb with Shift, 10844.4, 3.401, 4,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, HMeans, 11095.7, 0.024, 7,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Hill Climb with Interchange, 10893.5, 16.239, 7,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Hill Climb with Shift, 11093.1, 2.6, 3,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, HMeans, 11232.8, 0.022, 6,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Hill Climb with Interchange, 10931.7, 17.034, 6,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Hill Climb with Shift, 11232.8, 1.284, 3,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, HMeans, 11074.8, 0.046, 8,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Hill Climb with Interchange, 10884.7, 14.809, 8,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Hill Climb with Shift, 11074.8, 0.654, 1,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, HMeans, 11057.5, 0.031, 9,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Hill Climb with Interchange, 10921.9, 13.793, 9,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Hill Climb with Shift, 11057.2, 1.691, 3,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, HMeans, 11082.7, 0.032, 7,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Hill Climb with Interchange, 10891.7, 15.864, 7,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Hill Climb with Shift, 11082.7, 0.8, 1,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, HMeans, 11127.7, 0.034, 8,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Hill Climb with Interchange, 10888.6, 15.385, 8,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Hill Climb with Shift, 11127.7, 0.695, 1,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, HMeans, 11045.4, 0.032, 9,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Hill Climb with Interchange, 10885.7, 10.65, 9,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Hill Climb with Shift, 11045.4, 0.848, 1,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, HMeans, 10933.5, 0.032, 7,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Hill Climb with Interchange, 10860.4, 7.827, 7,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Hill Climb with Shift, 10929.2, 1.583, 3,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, HMeans, 11223.7, 0.038, 10,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Hill Climb with Interchange, 10916.5, 16.997, 10,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Hill Climb with Shift, 11223.7, 0.505, 1,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, HMeans, 25400.3, 0.03, 9,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Hill Climb with Interchange, 24236.4, 16.483, 9,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Hill Climb with Shift, 25395.5, 1.702, 5,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, JMeans, 11480.7, 25.564, 16,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Hill Climb with Interchange, 11188.1, 21.62, 16,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Hill Climb with Shift, 11255.6, 1.93, 3,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, JMeans, 12470.4, 10.929, 8,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Hill Climb with Interchange, 11430.1, 32.618, 8,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Hill Climb with Shift, 12408.7, 1.757, 3,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, JMeans, 11689.8, 17.859, 13,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Hill Climb with Interchange, 11263.1, 20.309, 13,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Hill Climb with Shift, 11571.8, 1.609, 3,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, JMeans, 11611.9, 24.407, 7,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Hill Climb with Interchange, 11184.8, 19.568, 7,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Hill Climb with Shift, 11518.4, 1.104, 2,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, JMeans, 11879.2, 25.158, 15,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Hill Climb with Interchange, 11282.3, 24.395, 15,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Hill Climb with Shift, 11706.9, 1.108, 2,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, JMeans, 11216, 10.587, 8,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Hill Climb with Interchange, 10970.9, 14.66, 8,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Hill Climb with Shift, 11138.8, 1.292, 2,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, JMeans, 11610.3, 16.051, 15,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Hill Climb with Interchange, 11205.1, 26.247, 15,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Hill Climb with Shift, 11418, 1.657, 3,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, JMeans, 12110.7, 94.341, 15,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Hill Climb with Interchange, 11524.4, 28.68, 15,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Hill Climb with Shift, 11791.8, 1.213, 3,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, JMeans, 11930.1, 14.072, 16,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Hill Climb with Interchange, 11086.3, 27.783, 16,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Hill Climb with Shift, 11808, 1.427, 3,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, JMeans, 11799.1, 22.222, 9,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Hill Climb with Interchange, 10985.7, 26.573, 9,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Hill Climb with Shift, 11799.1, 0.647, 1,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Randon Density, 10880.6, 17.859, 0,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Hill Climb with Interchange, 10824.5, 4.641, 0,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Hill Climb with Shift, 10880.6, 0.363, 1,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Randon Density, 10843.6, 13.388, 0,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Hill Climb with Interchange, 10843.3, 0.598, 0,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Hill Climb with Shift, 10843.6, 0.718, 1,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Randon Density, 10839.4, 16.455, 0,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Hill Climb with Interchange, 10839.4, 0.286, 0,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Hill Climb with Shift, 10839.4, 0.596, 1,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Randon Density, 10838.4, 13.655, 0,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Hill Climb with Interchange, 10838.4, 0.308, 0,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Hill Climb with Shift, 10838.4, 0.739, 1,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Randon Density, 11052.3, 16.027, 0,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Hill Climb with Interchange, 10845.5, 13.379, 0,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Hill Climb with Shift, 11052.3, 0.584, 1,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Randon Density, 10911.1, 17.555, 0,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Hill Climb with Interchange, 10765.5, 8.409, 0,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Hill Climb with Shift, 10911.1, 0.493, 1,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Randon Density, 10881.1, 14.14, 0,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Hill Climb with Interchange, 10803, 4.664, 0,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Hill Climb with Shift, 10875.8, 1.076, 3,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Randon Density, 10867.6, 10.397, 0,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Hill Climb with Interchange, 10856.9, 3.461, 0,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Hill Climb with Shift, 10867.6, 0.705, 1,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Randon Density, 10893.6, 10.044, 0,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Hill Climb with Interchange, 10872, 3.407, 0,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Hill Climb with Shift, 10893.6, 0.564, 1,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Randon Density, 11004, 15.919, 0,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Hill Climb with Interchange, 10842.2, 9.772, 0,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.1, Hill Climb with Shift, 10990.1, 1.519, 3,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Farthest, 27219.8, 0.024, 0,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Hill Climb with Interchange, 24697.8, 26.701, 0,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Hill Climb with Shift, 27219.8, 0.495, 1,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Density, 10763.5, 6.206, 10,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Hill Climb with Interchange, 10763.5, 0.298, 10,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Hill Climb with Shift, 10756, 2.854, 3,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, HMeans, 10951.4, 0.024, 7,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Hill Climb with Interchange, 10843.5, 8.67, 7,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Hill Climb with Shift, 10946.9, 1.494, 2,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, HMeans, 9476.95, 0.021, 6,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Hill Climb with Interchange, 9373.55, 8.424, 6,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Hill Climb with Shift, 9476.95, 1.01, 1,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, HMeans, 10007.1, 0.037, 12,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Hill Climb with Interchange, 9907.94, 6.527, 12,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Hill Climb with Shift, 10007.1, 0.737, 1,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, HMeans, 10981.1, 0.028, 8,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Hill Climb with Interchange, 10866, 8.186, 8,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Hill Climb with Shift, 10975.7, 1.868, 2,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, HMeans, 9164.83, 0.033, 11,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Hill Climb with Interchange, 9109.5, 6.417, 11,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Hill Climb with Shift, 9159.66, 3.023, 3,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, HMeans, 9220.76, 0.023, 7,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Hill Climb with Interchange, 9153.01, 7.639, 7,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Hill Climb with Shift, 9218.76, 3.144, 3,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, HMeans, 21118.8, 3.116, 1001,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Hill Climb with Interchange, 20123.1, 13.531, 1001,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Hill Climb with Shift, 21113.3, 2.35, 3,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, HMeans, 11341.4, 0.041, 11,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Hill Climb with Interchange, 10948.8, 19.074, 11,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Hill Climb with Shift, 11341.4, 0.599, 1,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, HMeans, 9181.22, 0.032, 10,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Hill Climb with Interchange, 9091.51, 8.898, 10,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Hill Climb with Shift, 9176.05, 3.162, 3,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, HMeans, 22944.6, 0.011, 4,
