
Instance /home/wagner/src/CCP/instances/AES/Cacapava_10.dat dom jun 6 23:50:59 2010/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, Farthest, 27877.4, 0.069, 0,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, Hill Climb with Interchange, 21841.3, 16.765, 0,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, Hill Climb with Shift, 27877.4, 0.2, 1,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, Density, 6447.66, 2.064, 10,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, Hill Climb with Interchange, 6380.63, 0.425, 10,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, Hill Climb with Shift, 6446.01, 1.997, 3,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, HMeans, 6585.74, 0.009, 4,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, Hill Climb with Interchange, 6418.31, 2.936, 4,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, Hill Climb with Shift, 6585.74, 0.396, 1,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, HMeans, 6530.14, 0.018, 9,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, Hill Climb with Interchange, 6389, 1.818, 9,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, Hill Climb with Shift, 6516.09, 1.013, 3,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, HMeans, 6584.6, 1.859, 1001,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, Hill Climb with Interchange, 6418.97, 4.655, 1001,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, Hill Climb with Shift, 6584.6, 0.507, 1,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, HMeans, 6482.04, 0.016, 9,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, Hill Climb with Interchange, 6355.02, 1.859, 9,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, Hill Climb with Shift, 6482.04, 0.587, 1,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, HMeans, 6670.04, 0.012, 6,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, Hill Climb with Interchange, 6373.05, 6.646, 6,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, Hill Climb with Shift, 6670.04, 0.198, 1,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, HMeans, 6573.1, 0.01, 5,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, Hill Climb with Interchange, 6378.86, 5.24, 5,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, Hill Climb with Shift, 6573.1, 0.335, 1,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, HMeans, 6696.89, 0.013, 6,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, Hill Climb with Interchange, 6485.34, 5.051, 6,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, Hill Climb with Shift, 6696.89, 0.31, 1,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, HMeans, 6574.62, 0.012, 6,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, Hill Climb with Interchange, 6442.34, 2.799, 6,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, Hill Climb with Shift, 6565.8, 0.694, 3,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, HMeans, 6659.76, 0.017, 8,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, Hill Climb with Interchange, 6512.89, 2.566, 8,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, Hill Climb with Shift, 6646.46, 1.198, 3,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, HMeans, 6588.46, 0.016, 8,
