
Instance /home/wagner/src/CCP/instances/AES/Lajeado.dat dom jun 6 19:45:38 2010/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.10088, Farthest, 32343, 0.336, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.10088, Hill Climb with Interchange, 26643.3, 78.445, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.10088, Hill Climb with Shift, 32343, 0.987, 1,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, Farthest, 32398, 0.103, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, Hill Climb with Interchange, 26971.6, 78.53, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, Hill Climb with Shift, 32398, 1.087, 1,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, Farthest, 32248.7, 0.106, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, Hill Climb with Interchange, 25471.7, 85.469, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, Hill Climb with Shift, 32248.7, 1.45, 1,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.3, Farthest, 27915.8, 0.103, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.3, Hill Climb with Interchange, 21275.1, 99.72, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.3, Hill Climb with Shift, 27915.8, 1.332, 1,

Instance /home/wagner/src/CCP/instances/AES/Lajeado.dat dom jun 6 19:48:54 2010/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.10088, Density, 9167.42, 8.673, 10,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.10088, Hill Climb with Interchange, 9119.57, 11.646, 10,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.10088, Hill Climb with Shift, 9167.42, 1.933, 1,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, Density, 9174.75, 8.394, 10,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, Hill Climb with Interchange, 9123.13, 11.84, 10,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, Hill Climb with Shift, 9174.75, 1.966, 1,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, Density, 8798.55, 10.272, 10,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, Hill Climb with Interchange, 8798.55, 1.021, 10,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, Hill Climb with Shift, 8797.36, 10.775, 3,
