
Instance /home/wagner/src/CCP/instances/AES/Santa_Maria.dat seg jun 7 11:34:46 2010/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, Density, 20519.8, 108.9, 10,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, Hill Climb with Interchange, 19904.7, 269.415, 10,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, Hill Climb with Shift, 20516.4, 10.476, 3,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, HMeans, 28230.3, 0.205, 13,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, Hill Climb with Interchange, 25535.9, 301.398, 13,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, Hill Climb with Shift, 28205, 8.011, 3,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, HMeans, 27969.6, 0.109, 7,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, Hill Climb with Interchange, 25884.5, 298.433, 7,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, Hill Climb with Shift, 27969.6, 4.537, 1,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, HMeans, 16164.2, 0.135, 10,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, Hill Climb with Interchange, 15195.4, 310.634, 10,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, Hill Climb with Shift, 16164.2, 5.016, 1,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, HMeans, 16272.4, 0.216, 15,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, Hill Climb with Interchange, 15385, 332.873, 15,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, Hill Climb with Shift, 16272.4, 5.382, 1,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, HMeans, 27368.9, 0.139, 10,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, Hill Climb with Interchange, 25238.9, 317.834, 10,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, Hill Climb with Shift, 27357.2, 6.925, 2,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, HMeans, 28407.6, 0.158, 12,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, Hill Climb with Interchange, 26545.3, 318.647, 12,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, Hill Climb with Shift, 28407.6, 4.529, 1,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, HMeans, 16076.5, 14.176, 1001,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, Hill Climb with Interchange, 14580.1, 319.768, 1001,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, Hill Climb with Shift, 16044.4, 9.951, 3,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, HMeans, 15482, 0.185, 13,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, Hill Climb with Interchange, 14657, 300.206, 13,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, Hill Climb with Shift, 15482, 3.251, 1,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, HMeans, 20240.4, 0.173, 12,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, Hill Climb with Interchange, 18731, 285.135, 12,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, Hill Climb with Shift, 20240.4, 2.147, 1,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, HMeans, 28133.9, 0.115, 10,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, Hill Climb with Interchange, 26500.9, 296.24, 10,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, Hill Climb with Shift, 28105.9, 25.678, 3,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, JMeans, 16409.9, 482.744, 16,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, Hill Climb with Interchange, 15874.3, 242.516, 16,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, Hill Climb with Shift, 16405.9, 8.456, 2,
